bring_type,true?,to_far?,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0,1,-1,-50,-50,-50,-51,-49,-47,-45,-44,-45,-49
0,1,-1,-53,-53,-53,-53,-51,-50,-50,-51,-52,-52
0,1,-1,-54,-54,-54,-53,-52,-50,-48,-48,-47,-46
0,1,-1,-49,-47,-46,-45,-44,-44,-42,-41,-41,-41
0,1,-1,-51,-49,-47,-46,-44,-43,-43,-46,-51,-53
0,1,-1,-51,-52,-52,-51,-49,-49,-51,-50,-48,-49
0,1,-1,-47,-44,-42,-39,-38,-38,-38,-37,-38,-38
0,1,-1,-49,-46,-44,-41,-39,-39,-39,-40,-43,-46
1,1,-1,-57,-56,-54,-51,-48,-48,-49,-51,-53,-52
1,1,-1,-56,-58,-60,-60,-58,-55,-55,-54,-53,-52
1,1,-1,-58,-56,-54,-53,-53,-53,-50,-48,-48,-49
1,1,-1,-53,-54,-55,-53,-51,-49,-50,-48,-45,-46
1,1,-1,-55,-52,-50,-51,-48,-44,-43,-44,-45,-46
1,1,-1,-58,-60,-61,-59,-56,-55,-56,-54,-50,-52
1,1,-1,-60,-57,-56,-58,-60,-57,-52,-49,-48,-48
1,1,-1,-56,-53,-51,-52,-53,-52,-48,-45,-42,-43
1,1,-1,-57,-57,-54,-52,-53,-54,-51,-48,-47,-46
1,1,-1,-58,-55,-52,-52,-54,-54,-52,-49,-48,-47
2,1,-1,-48,-48,-49,-49,-50,-48,-46,-44,-42,-40
2,1,-1,-50,-52,-52,-51,-50,-47,-44,-42,-40,-40
2,1,-1,-49,-48,-48,-48,-46,-44,-42,-41,-39,-37
2,1,-1,-54,-55,-55,-56,-54,-51,-49,-46,-45,-44
2,1,-1,-55,-56,-57,-57,-56,-55,-55,-55,-55,-54
2,1,-1,-55,-55,-53,-53,-57,-58,-55,-53,-50,-48
2,1,-1,-48,-45,-43,-41,-39,-37,-36,-35,-34,-36
2,1,-1,-53,-52,-49,-46,-43,-41,-40,-40,-39,-40
2,1,-1,-51,-51,-52,-51,-50,-49,-48,-47,-45,-43
2,1,-1,-53,-54,-52,-51,-50,-49,-48,-47,-45,-44
0,0,0,-62,-62,-62,-62,-63,-64,-62,-60,-59,-59
0,0,0,-60,-60,-61,-61,-63,-63,-64,-63,-61,-63
0,0,0,-66,-66,-64,-64,-65,-64,-63,-63,-63,-64
0,0,0,-60,-60,-60,-62,-62,-64,-65,-66,-66,-64
0,0,0,-63,-63,-63,-65,-66,-66,-64,-64,-64,-64
0,0,0,-63,-63,-64,-64,-65,-66,-65,-64,-63,-62
0,0,0,-63,-63,-62,-62,-62,-62,-63,-64,-65,-63
0,0,0,-69,-67,-65,-64,-63,-63,-64,-63,-62,-62
0,0,0,-68,-67,-66,-66,-65,-64,-65,-65,-65,-65
0,0,0,-61,-61,-60,-60,-61,-61,-61,-60,-61,-62
0,0,0,-65,-64,-63,-64,-64,-62,-60,-60,-59,-60
0,0,1,-60,-59,-59,-59,-59,-59,-59,-59,-60,-59
0,0,1,-63,-63,-62,-62,-62,-64,-65,-64,-64,-63
0,0,1,-56,-56,-57,-57,-57,-58,-59,-61,-63,-64
0,0,1,-60,-59,-61,-61,-60,-60,-61,-61,-62,-64
0,0,1,-61,-63,-64,-63,-63,-63,-64,-65,-65,-64
0,0,1,-63,-63,-63,-64,-64,-63,-61,-60,-60,-62
0,0,1,-61,-60,-59,-58,-58,-58,-59,-59,-61,-63
0,0,1,-61,-62,-63,-64,-64,-63,-64,-65,-64,-62
0,0,1,-62,-63,-63,-63,-63,-64,-66,-66,-66,-65
0,0,1,-60,-60,-60,-60,-58,-57,-58,-59,-61,-62
0,0,1,-63,-64,-64,-65,-64,-62,-62,-63,-62,-60
1,0,0,-66,-66,-64,-62,-62,-63,-63,-62,-61,-62
1,0,0,-70,-70,-69,-69,-68,-68,-69,-69,-70,-69
1,0,0,-78,-77,-74,-74,-74,-74,-73,-70,-68,-67
1,0,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
1,0,0,-63,-66,-68,-67,-65,-63,-63,-65,-67,-67
1,0,0,-69,-67,-66,-69,-71,-70,-68,-67,-66,-67
1,0,0,-70,-69,-70,-70,-71,-72,-73,-73,-73,-72
1,0,0,-69,-70,-71,-72,-70,-69,-70,-69,-68,-68
1,0,0,-65,-65,-64,-64,-64,-66,-65,-64,-64,-63
